"","x"
"1",6132.8
"2",5811.8
"3",4733.9
"4",4779.6
"5",4042.7
"6",3761.7
"7",3135.3
"8",4714.1
"9",4621.4
"10",4040
"11",3932
"12",4982.4
"13",4538.7
"14",4641.8
"15",3955
"16",4444.2
"17",4265.1
"18",4383.1
"19",3658.2
"20",4492.7
"21",4145.7
"22",4402.9
"23",4056.7
"24",4583
"25",4520.7
"26",4851.2
"27",4496.7
"28",4896.2
"29",5121.1
"30",5087.2
"31",4610.5
"32",5525.2
"33",6107.3
"34",5099.5
"35",4450.7
"36",4610.1
"37",4160.2
"38",3827
"39",3780
"40",4280.9
"41",4743.3
"42",4727.6
"43",4616.6
"44",5487.1
"45",5361.9
"46",6022.3
"47",5263.3
"48",6133.3
"49",6321.4
"50",5985.1
"51",4541.4
"52",6156.4
"53",5348.1
"54",5468.3
"55",4835
"56",5578.3
"57",6276.8
"58",6461.7
"59",6214
"60",7614.3
"61",7724.7
"62",7398.8
"63",7326.9
"64",8258.5
"65",6690.6
"66",6566.1
"67",6528
"68",6413.1
"69",5400.7
"70",5256.3
"71",4875.2
"72",5216.7
"73",5442.4
"74",5250.5
"75",5150.5
"76",5470.3
"77",5610.3
"78",6164.4
"79",6054.6
"80",6235.5
"81",6890.4
"82",6329.9
"83",6206.7
"84",7413.4
"85",7263
"86",6679.7
"87",6018.7
"88",7013.9
